fdc_id,food_name,data_type,food_category,calories,carbs_g,calcium_mg,fat_g,protein_g,saturated_fat_g,fiber_g,iron_mg,sodium_mg,sugar_g,cholesterol_mg,health_score,food_type,food_display_name,preparation_method,food_label,food_group_clean
169283,"Soybeans, green, cooked, boiled, drained, without salt",SR Legacy,Vegetables and Vegetable Products,141.0,11.0,145.0,6.4,12.4,0.74,4.2,2.5,14.0,1.6,0.0,75,Vegetables,"Soybeans, green","cooked, boiled, drained, without salt","Soybeans, green (cooked, boiled, drained, without salt)",Vegetables
167719,"Chicken, meatless, breaded, fried",SR Legacy,Legumes and Legume Products,234.0,8.51,42.0,12.8,21.3,1.13,4.3,3.83,400.0,0.0,0.0,70,Meat & Poultry,"Chicken, meatless, breaded",fried,"Chicken, meatless, breaded (fried)",Meat & Poultry
168872,"Oat bran, raw",SR Legacy,Cereal Grains and Pasta,246.0,66.2,58.0,7.03,17.3,1.33,15.4,5.41,4.0,1.45,0.0,70,Grains,Oat bran,raw,Oat bran (raw),Grains
169705,Oats (Includes foods for USDA's Food Distribution Program),SR Legacy,Cereal Grains and Pasta,389.0,66.3,54.0,6.9,16.9,1.22,10.6,4.72,2.0,3.2,0.0,70,Grains,Oats (Includes foods for USDA's Food Distribution Program),unspecified,Oats (Includes foods for USDA's Food Distribution Program),Grains
168889,"Wheat, hard red spring",SR Legacy,Cereal Grains and Pasta,329.0,68.0,25.0,1.92,15.4,0.314,12.2,3.6,2.0,0.41,0.0,70,Grains,"Wheat, hard red spring",unspecified,"Wheat, hard red spring",Grains
2710827,"Einkorn, grain, dry, raw",Foundation,Cereal Grains and Pasta,346.0,68.7,41.4,3.81,15.1,0.0,8.91,3.69,0.0,3.2,0.0,70,Grains,"Einkorn, grain","dry, raw","Einkorn, grain (dry, raw)",Grains
2710830,"Khorasan, grain, dry, raw",Foundation,Cereal Grains and Pasta,348.0,71.8,24.1,2.8,14.8,0.0,10.5,3.87,3.94,3.2,0.0,70,Grains,"Khorasan, grain","dry, raw","Khorasan, grain (dry, raw)",Grains
169726,"Wild rice, raw",SR Legacy,Cereal Grains and Pasta,357.0,74.9,21.0,1.08,14.7,0.156,6.2,1.96,7.0,2.5,0.0,70,Grains,Wild rice,raw,Wild rice (raw),Grains
169733,"Noodles, egg, spinach, enriched, dry",SR Legacy,Cereal Grains and Pasta,382.0,70.3,56.0,4.55,14.6,1.05,6.8,4.2,72.0,3.2,95.0,70,Grains,"Noodles, egg, spinach","enriched, dry","Noodles, egg, spinach (enriched, dry)",Grains
2003587,"Flour, spelt, whole grain",Foundation,Cereal Grains and Pasta,341.0,70.7,30.0,2.54,14.5,0.0,9.34,3.77,0.0,3.2,0.0,70,Grains,"Flour, spelt, whole grain",unspecified,"Flour, spelt, whole grain",Grains
174914,"Bread, multi-grain, toasted (includes whole-grain)",SR Legacy,Baked Products,288.0,47.1,111.0,4.6,14.5,0.948,8.1,2.72,414.0,6.94,0.0,70,Grains,"Bread, multi-grain",toasted (includes whole-grain),"Bread, multi-grain (toasted (includes whole-grain))",Grains
169755,"Noodles, egg, dry, unenriched",SR Legacy,Cereal Grains and Pasta,384.0,71.3,35.0,4.44,14.2,1.18,3.3,1.9,21.0,1.88,84.0,70,Grains,"Noodles, egg","dry, unenriched","Noodles, egg (dry, unenriched)",Grains
169738,"Pasta, whole-wheat, dry (Includes foods for USDA's Food Distribution Program)",SR Legacy,Cereal Grains and Pasta,352.0,73.4,29.0,2.93,13.9,0.428,9.2,3.62,6.0,2.74,0.0,70,Grains,"Pasta, whole-wheat",dry (Includes foods for USDA's Food Distribution Program),"Pasta, whole-wheat (dry (Includes foods for USDA's Food Distribution Program))",Grains
170682,"Amaranth grain, uncooked",SR Legacy,Cereal Grains and Pasta,371.0,65.2,159.0,7.02,13.6,1.46,6.7,7.61,4.0,1.69,0.0,70,Grains,Amaranth grain,uncooked,Amaranth grain (uncooked),Grains
2346396,"Oats, whole grain, rolled, old fashioned",Foundation,Cereal Grains and Pasta,379.0,68.7,45.5,5.89,13.5,0.0,9.7,4.34,0.668,3.2,0.0,70,Grains,"Oats, whole grain","rolled, old fashioned","Oats, whole grain (rolled, old fashioned)",Grains
168911,"Spaghetti, spinach, dry",SR Legacy,Cereal Grains and Pasta,372.0,74.8,58.0,1.57,13.4,0.226,10.6,2.13,36.0,2.72,0.0,70,Grains,"Spaghetti, spinach",dry,"Spaghetti, spinach (dry)",Grains
169747,"Teff, uncooked",SR Legacy,Cereal Grains and Pasta,367.0,73.1,180.0,2.38,13.3,0.449,8.0,7.63,12.0,1.84,0.0,70,Grains,Teff,uncooked,Teff (uncooked),Grains
2003589,"Flour, semolina, fine",Foundation,Cereal Grains and Pasta,366.0,72.0,19.8,1.84,13.3,0.0,3.68,2.43,0.426,3.2,0.0,70,Grains,"Flour, semolina, fine",unspecified,"Flour, semolina, fine",Grains
168888,"Triticale flour, whole-grain",SR Legacy,Cereal Grains and Pasta,338.0,73.1,35.0,1.81,13.2,0.318,14.6,2.59,2.0,3.2,0.0,70,Grains,"Triticale flour, whole-grain",unspecified,"Triticale flour, whole-grain",Grains
172025,"Pasta, whole grain, 51% whole wheat, remaining enriched semolina, dry (Includes foods for USDA's Food Distribution Program)",SR Legacy,Cereal Grains and Pasta,361.0,73.3,25.0,2.55,13.2,0.324,11.3,3.41,12.0,2.2,0.0,70,Grains,"Pasta, whole grain, 51% whole wheat","remaining enriched semolina, dry (Includes foods for USDA's Food Distribution Program)","Pasta, whole grain, 51% whole wheat (remaining enriched semolina, dry (Includes foods for USDA's Food Distribution Program))",Grains
2261421,"Flour, oat, whole grain",Foundation,Cereal Grains and Pasta,386.0,69.9,42.8,6.31,13.2,0.0,10.5,4.0,3.62,3.2,0.0,70,Grains,"Flour, oat, whole grain",unspecified,"Flour, oat, whole grain",Grains
170286,Buckwheat,SR Legacy,Cereal Grains and Pasta,343.0,71.5,18.0,3.4,13.2,0.741,10.0,2.2,1.0,3.2,0.0,70,Grains,Buckwheat,unspecified,Buckwheat,Grains
2512371,"Flour, amaranth",Foundation,Cereal Grains and Pasta,378.0,68.8,135.0,6.24,13.2,0.0,7.21,7.56,0.0,3.2,0.0,70,Grains,"Flour, amaranth",unspecified,"Flour, amaranth",Grains
171850,"Bread, wheat, sprouted",SR Legacy,Baked Products,188.0,33.9,0.0,0.0,13.2,0.0,5.3,1.89,474.0,2.63,0.0,70,Grains,"Bread, wheat, sprouted",unspecified,"Bread, wheat, sprouted",Grains
172809,"Bread, protein, (includes gluten), toasted",SR Legacy,Baked Products,270.0,48.1,136.0,2.4,13.2,0.364,3.3,4.56,444.0,1.44,0.0,70,Grains,"Bread, protein, (includes gluten)",toasted,"Bread, protein, (includes gluten) (toasted)",Grains
168903,"Macaroni, vegetable, enriched, dry",SR Legacy,Cereal Grains and Pasta,367.0,74.9,34.0,1.04,13.1,0.15,4.3,4.28,43.0,1.6,0.0,70,Vegetables,"Macaroni, vegetable","enriched, dry","Macaroni, vegetable (enriched, dry)",Vegetables
169736,"Pasta, dry, enriched",SR Legacy,Cereal Grains and Pasta,371.0,74.7,21.0,1.51,13.0,0.277,3.2,3.3,6.0,2.67,0.0,70,Grains,Pasta,"dry, enriched","Pasta (dry, enriched)",Grains
168927,"Pasta, dry, unenriched",SR Legacy,Cereal Grains and Pasta,371.0,74.7,21.0,1.51,13.0,0.277,3.2,1.3,6.0,2.67,0.0,70,Grains,Pasta,"dry, unenriched","Pasta (dry, unenriched)",Grains
169699,"Couscous, dry",SR Legacy,Cereal Grains and Pasta,376.0,77.4,24.0,0.64,12.8,0.117,5.0,1.08,10.0,3.2,0.0,70,Grains,Couscous,dry,Couscous (dry),Grains
2710821,"Wild rice, dry, raw",Foundation,Cereal Grains and Pasta,359.0,75.7,7.97,1.7,12.8,0.0,4.26,1.53,1.01,3.2,0.0,70,Grains,Wild rice,"dry, raw","Wild rice (dry, raw)",Grains
169715,"Semolina, enriched",SR Legacy,Cereal Grains and Pasta,360.0,72.8,17.0,1.05,12.7,0.15,3.9,4.36,1.0,3.2,0.0,70,Grains,Semolina,enriched,Semolina (enriched),Grains
168933,"Semolina, unenriched",SR Legacy,Cereal Grains and Pasta,360.0,72.8,17.0,1.05,12.7,0.15,3.9,1.23,1.0,3.2,0.0,70,Grains,Semolina,unenriched,Semolina (unenriched),Grains
168890,"Wheat, hard red winter",SR Legacy,Cereal Grains and Pasta,327.0,71.2,29.0,1.54,12.6,0.269,12.2,3.19,2.0,0.41,0.0,70,Grains,"Wheat, hard red winter",unspecified,"Wheat, hard red winter",Grains
2710828,"Farro, pearled, dry, raw",Foundation,Cereal Grains and Pasta,344.0,72.1,25.9,3.1,12.6,0.0,7.31,3.2,0.845,3.2,0.0,70,Grains,"Farro, pearled","dry, raw","Farro, pearled (dry, raw)",Grains
170283,"Barley, hulled",SR Legacy,Cereal Grains and Pasta,354.0,73.5,33.0,2.3,12.5,0.482,17.3,3.6,12.0,0.8,0.0,70,Grains,"Barley, hulled",unspecified,"Barley, hulled",Grains
2346397,"Oats, whole grain, steel cut",Foundation,Cereal Grains and Pasta,379.0,69.8,51.3,5.8,12.5,0.0,11.2,3.8,0.311,3.2,0.0,70,Grains,"Oats, whole grain, steel cut",unspecified,"Oats, whole grain, steel cut",Grains
167943,"Bread, potato",SR Legacy,Baked Products,266.0,47.1,188.0,3.13,12.5,0.0,6.3,2.25,375.0,9.38,0.0,70,Grains,"Bread, potato",unspecified,"Bread, potato",Grains
168579,"Peppers, pasilla, dried",SR Legacy,Vegetables and Vegetable Products,345.0,51.1,97.0,15.8,12.4,0.114,26.8,9.83,89.0,1.6,0.0,70,Vegetables,"Peppers, pasilla",dried,"Peppers, pasilla (dried)",Vegetables
170688,"Bulgur, dry",SR Legacy,Cereal Grains and Pasta,342.0,75.9,35.0,1.33,12.3,0.232,12.5,2.46,17.0,0.41,0.0,70,Grains,Bulgur,dry,Bulgur (dry),Grains
170702,"School Lunch, pizza, TONY'S SMARTPIZZA Whole Grain 4x6 Cheese Pizza 50/50 Cheese, frozen",SR Legacy,Fast Foods,233.0,29.3,207.0,7.51,12.1,2.79,3.8,2.4,400.0,6.76,12.0,70,Dairy,"School Lunch, pizza, TONY'S SMARTPIZZA Whole Grain 4x6 Cheese Pizza 50/50 Cheese",frozen,"School Lunch, pizza, TONY'S SMARTPIZZA Whole Grain 4x6 Cheese Pizza 50/50 Cheese (frozen)",Dairy
2512372,"Flour, quinoa",Foundation,Cereal Grains and Pasta,378.0,69.5,37.6,6.6,11.9,0.0,6.3,4.53,6.32,3.2,0.0,70,Grains,"Flour, quinoa",unspecified,"Flour, quinoa",Grains
2710820,"Bulgur, dry, raw",Foundation,Cereal Grains and Pasta,349.0,75.9,34.1,2.42,11.8,0.0,11.7,2.62,2.18,3.2,0.0,70,Grains,Bulgur,"dry, raw","Bulgur (dry, raw)",Grains
2003588,"Flour, semolina, coarse and semi-coarse",Foundation,Cereal Grains and Pasta,365.0,73.8,17.2,1.6,11.7,0.0,3.22,1.55,0.0,3.2,0.0,70,Grains,"Flour, semolina, coarse and semi-coarse",unspecified,"Flour, semolina, coarse and semi-coarse",Grains
172677,"Bread, oat bran, toasted",SR Legacy,Baked Products,259.0,43.7,71.0,4.8,11.4,0.766,4.9,3.43,387.0,8.46,0.0,70,Grains,"Bread, oat bran",toasted,"Bread, oat bran (toasted)",Grains
169719,"Wheat, hard white",SR Legacy,Cereal Grains and Pasta,342.0,75.9,32.0,1.71,11.3,0.277,12.2,4.56,2.0,0.41,0.0,70,Grains,"Wheat, hard white",unspecified,"Wheat, hard white",Grains
2710839,"Sorghum bran, white, unenriched, dry, raw",Foundation,Cereal Grains and Pasta,365.0,68.7,61.7,9.26,11.2,0.0,35.0,14.2,2.92,3.2,0.0,70,Grains,"Sorghum bran, white","unenriched, dry, raw","Sorghum bran, white (unenriched, dry, raw)",Grains
168410,"Edamame, frozen, unprepared",SR Legacy,Vegetables and Vegetable Products,109.0,7.61,60.0,4.73,11.2,0.114,4.8,2.11,6.0,2.48,0.0,70,Vegetables,Edamame,"frozen, unprepared","Edamame (frozen, unprepared)",Vegetables
2512378,"Buckwheat, whole grain",Foundation,Cereal Grains and Pasta,332.0,71.1,13.6,3.04,11.1,0.0,4.05,2.44,0.0,3.2,0.0,70,Grains,"Buckwheat, whole grain",unspecified,"Buckwheat, whole grain",Grains
169702,"Millet, raw",SR Legacy,Cereal Grains and Pasta,378.0,72.8,8.0,4.22,11.0,0.723,8.5,3.01,5.0,3.2,0.0,70,Grains,Millet,raw,Millet (raw),Grains
168886,"Rye flour, medium",SR Legacy,Cereal Grains and Pasta,349.0,75.4,24.0,1.52,10.9,0.18,11.8,2.54,2.0,1.1,0.0,70,Grains,"Rye flour, medium",unspecified,"Rye flour, medium",Grains
169720,"Wheat, soft white",SR Legacy,Cereal Grains and Pasta,340.0,75.4,34.0,1.99,10.7,0.368,12.7,5.37,2.0,0.41,0.0,70,Grains,"Wheat, soft white",unspecified,"Wheat, soft white",Grains
172686,"Bread, wheat",SR Legacy,Baked Products,274.0,47.5,125.0,4.53,10.7,0.697,4.0,3.6,473.0,5.73,0.0,70,Grains,"Bread, wheat",unspecified,"Bread, wheat",Grains
